X,Y,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,snippet,icon_url
46.884123,24.572345,نفق البحرية (نفق امتداد الدائري الشرق امام مطاعم حديقة العائلة) (U140),"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt"">

<head>

<META http-equiv=""Content-Type"" content=""text/html"">

<meta http-equiv=""content-type"" content=""text/html; charset=UTF-8"">

</head>

<body style=""margin:0px 0px 0px 0px;overflow:auto;background:#FFFFFF;"">

<table style=""font-family:Arial,Verdana,Times;font-size:12px;text-align:left;width:100%;border-collapse:collapse;padding:3px 3px 3px 3px"">

<tr style=""text-align:center;font-weight:bold;background:#9CBCE2"">

<td>نفق البحرية (نفق امتداد الدائري الشرق امام مطاعم حديقة العائلة) (U140)</td>

</tr>

<tr>

<td>

<table style=""font-family:Arial,Verdana,Times;font-size:12px;text-align:left;width:100%;border-spacing:0px; padding:3px 3px 3px 3px"">

<tr>

<td>FID</td>

<td>0</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>الرقم</td>

<td>1</td>

</tr>

<tr>

<td>NO</td>

<td>1</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>اسم_ا</td>

<td>نفق البحرية (نفق امتداد الدائري الشرق امام مطاعم حديقة العائلة) (U140)</td>

</tr>

<tr>

<td>الحي</td>

<td>البرية</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>البلد</td>

<td>السلي</td>

</tr>

<tr>

<td>X</td>

<td>46.884123</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>Y</td>

<td>24.572345</td>

</tr>

</table>

</td>

</tr>

</table>

</body>

</html>

",,,,clampToGround,-1,0,-1,,,,
46.848337,24.592833,نفق السكة حديد (نفق تقاطع السكة حديد مع امتداد الدائري الشرقي) (U136),"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt"">

<head>

<META http-equiv=""Content-Type"" content=""text/html"">

<meta http-equiv=""content-type"" content=""text/html; charset=UTF-8"">

</head>

<body style=""margin:0px 0px 0px 0px;overflow:auto;background:#FFFFFF;"">

<table style=""font-family:Arial,Verdana,Times;font-size:12px;text-align:left;width:100%;border-collapse:collapse;padding:3px 3px 3px 3px"">

<tr style=""text-align:center;font-weight:bold;background:#9CBCE2"">

<td>نفق السكة حديد (نفق تقاطع السكة حديد مع امتداد الدائري الشرقي) (U136)</td>

</tr>

<tr>

<td>

<table style=""font-family:Arial,Verdana,Times;font-size:12px;text-align:left;width:100%;border-spacing:0px; padding:3px 3px 3px 3px"">

<tr>

<td>FID</td>

<td>1</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>الرقم</td>

<td>2</td>

</tr>

<tr>

<td>NO</td>

<td>2</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>اسم_ا</td>

<td>نفق السكة حديد (نفق تقاطع السكة حديد مع امتداد الدائري الشرقي) (U136)</td>

</tr>

<tr>

<td>الحي</td>

<td>المشاعل</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>البلد</td>

<td>السلي</td>

</tr>

<tr>

<td>X</td>

<td>46.848337</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>Y</td>

<td>24.592833</td>

</tr>

</table>

</td>

</tr>

</table>

</body>

</html>

",,,,clampToGround,-1,0,-1,,,,
46.7576,24.604781,الدائري الجنوبي امام مركز الهرم وطريق النماص من الدائري الجنوبي حتى طريق العزيزية,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt"">

<head>

<META http-equiv=""Content-Type"" content=""text/html"">

<meta http-equiv=""content-type"" content=""text/html; charset=UTF-8"">

</head>

<body style=""margin:0px 0px 0px 0px;overflow:auto;background:#FFFFFF;"">

<table style=""font-family:Arial,Verdana,Times;font-size:12px;text-align:left;width:100%;border-collapse:collapse;padding:3px 3px 3px 3px"">

<tr style=""text-align:center;font-weight:bold;background:#9CBCE2"">

<td>الدائري الجنوبي امام مركز الهرم وطريق النماص من الدائري الجنوبي حتى طريق العزيزية</td>

</tr>

<tr>

<td>

<table style=""font-family:Arial,Verdana,Times;font-size:12px;text-align:left;width:100%;border-spacing:0px; padding:3px 3px 3px 3px"">

<tr>

<td>FID</td>

<td>2</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>الرقم</td>

<td>3</td>

</tr>

<tr>

<td>NO</td>

<td>3</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>اسم_ا</td>

<td>الدائري الجنوبي امام مركز الهرم وطريق النماص من الدائري الجنوبي حتى طريق العزيزية</td>

</tr>

<tr>

<td>الحي</td>

<td>العزيزية</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>البلد</td>

<td>العزيزية</td>

</tr>

<tr>

<td>X</td>

<td>46.7576</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>Y</td>

<td>24.604781</td>

</tr>

</table>

</td>

</tr>

</table>

</body>

</html>

",,,,clampToGround,-1,0,-1,,,,
46.700084,24.803576,بوابة رقم 3 لجامعة الامام محمد بن سعود الاسلامية على طريق الامير محمد بن سلمان,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt"">

<head>

<META http-equiv=""Content-Type"" content=""text/html"">

<meta http-equiv=""content-type"" content=""text/html; charset=UTF-8"">

</head>

<body style=""margin:0px 0px 0px 0px;overflow:auto;background:#FFFFFF;"">

<table style=""font-family:Arial,Verdana,Times;font-size:12px;text-align:left;width:100%;border-collapse:collapse;padding:3px 3px 3px 3px"">

<tr style=""text-align:center;font-weight:bold;background:#9CBCE2"">

<td>بوابة رقم 3 لجامعة الامام محمد بن سعود الاسلامية على طريق الامير محمد بن سلمان</td>

</tr>

<tr>

<td>

<table style=""font-family:Arial,Verdana,Times;font-size:12px;text-align:left;width:100%;border-spacing:0px; padding:3px 3px 3px 3px"">

<tr>

<td>FID</td>

<td>3</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>الرقم</td>

<td>4</td>

</tr>

<tr>

<td>NO</td>

<td>4</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>اسم_ا</td>

<td>بوابة رقم 3 لجامعة الامام محمد بن سعود الاسلامية على طريق الامير محمد بن سلمان</td>

</tr>

<tr>

<td>الحي</td>

<td>الفلاح</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>البلد</td>

<td>الشمال</td>

</tr>

<tr>

<td>X</td>

<td>46.700084</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>Y</td>

<td>24.803576</td>

</tr>

</table>

</td>

</tr>

</table>

</body>

</html>

",,,,clampToGround,-1,0,-1,,,,
46.695998,24.802141,تقاطع طريق عثمان بن عفان البوابة الغربية مع الأمير محمد بن سلمان بن عبدالعزيز,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt"">

<head>

<META http-equiv=""Content-Type"" content=""text/html"">

<meta http-equiv=""content-type"" content=""text/html; charset=UTF-8"">

</head>

<body style=""margin:0px 0px 0px 0px;overflow:auto;background:#FFFFFF;"">

<table style=""font-family:Arial,Verdana,Times;font-size:12px;text-align:left;width:100%;border-collapse:collapse;padding:3px 3px 3px 3px"">

<tr style=""text-align:center;font-weight:bold;background:#9CBCE2"">

<td>تقاطع طريق عثمان بن عفان البوابة الغربية مع الأمير محمد بن سلمان بن عبدالعزيز</td>

</tr>

<tr>

<td>

<table style=""font-family:Arial,Verdana,Times;font-size:12px;text-align:left;width:100%;border-spacing:0px; padding:3px 3px 3px 3px"">

<tr>

<td>FID</td>

<td>4</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>الرقم</td>

<td>5</td>

</tr>

<tr>

<td>NO</td>

<td>5</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>اسم_ا</td>

<td>تقاطع طريق عثمان بن عفان البوابة الغربية مع الأمير محمد بن سلمان بن عبدالعزيز</td>

</tr>

<tr>

<td>الحي</td>

<td>الفلاح</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>البلد</td>

<td>الشمال</td>

</tr>

<tr>

<td>X</td>

<td>46.695998</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>Y</td>

<td>24.802141</td>

</tr>

</table>

</td>

</tr>

</table>

</body>

</html>

",,,,clampToGround,-1,0,-1,,,,
46.76724,24.614155,مخرج (19) بطريق الدائري الجنوبي الجهة المقابل لمنتزه مناخ الملك عبدالعزيز,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt"">

<head>

<META http-equiv=""Content-Type"" content=""text/html"">

<meta http-equiv=""content-type"" content=""text/html; charset=UTF-8"">

</head>

<body style=""margin:0px 0px 0px 0px;overflow:auto;background:#FFFFFF;"">

<table style=""font-family:Arial,Verdana,Times;font-size:12px;text-align:left;width:100%;border-collapse:collapse;padding:3px 3px 3px 3px"">

<tr style=""text-align:center;font-weight:bold;background:#9CBCE2"">

<td>مخرج (19) بطريق الدائري الجنوبي الجهة المقابل لمنتزه مناخ الملك عبدالعزيز</td>

</tr>

<tr>

<td>

<table style=""font-family:Arial,Verdana,Times;font-size:12px;text-align:left;width:100%;border-spacing:0px; padding:3px 3px 3px 3px"">

<tr>

<td>FID</td>

<td>5</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>الرقم</td>

<td>6</td>

</tr>

<tr>

<td>NO</td>

<td>6</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>اسم_ا</td>

<td>مخرج (19) بطريق الدائري الجنوبي الجهة المقابل لمنتزه مناخ الملك عبدالعزيز</td>

</tr>

<tr>

<td>الحي</td>

<td>المناخ</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>البلد</td>

<td>العزيزية</td>

</tr>

<tr>

<td>X</td>

<td>46.76724</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>Y</td>

<td>24.614155</td>

</tr>

</table>

</td>

</tr>

</table>

</body>

</html>

",,,,clampToGround,-1,0,-1,,,,
46.840745,24.646121,شارع محمد بن عبدالحمن بن عبدالعزيز (اسطنبول سابقا) مع الدائري الجنوبي,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt"">

<head>

<META http-equiv=""Content-Type"" content=""text/html"">

<meta http-equiv=""content-type"" content=""text/html; charset=UTF-8"">

</head>

<body style=""margin:0px 0px 0px 0px;overflow:auto;background:#FFFFFF;"">

<table style=""font-family:Arial,Verdana,Times;font-size:12px;text-align:left;width:100%;border-collapse:collapse;padding:3px 3px 3px 3px"">

<tr style=""text-align:center;font-weight:bold;background:#9CBCE2"">

<td>شارع محمد بن عبدالحمن بن عبدالعزيز (اسطنبول سابقا) مع الدائري الجنوبي</td>

</tr>

<tr>

<td>

<table style=""font-family:Arial,Verdana,Times;font-size:12px;text-align:left;width:100%;border-spacing:0px; padding:3px 3px 3px 3px"">

<tr>

<td>FID</td>

<td>6</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>الرقم</td>

<td>7</td>

</tr>

<tr>

<td>NO</td>

<td>7</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>اسم_ا</td>

<td>شارع محمد بن عبدالحمن بن عبدالعزيز (اسطنبول سابقا) مع الدائري الجنوبي</td>

</tr>

<tr>

<td>الحي</td>

<td>السلي</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>البلد</td>

<td>السلي</td>

</tr>

<tr>

<td>X</td>

<td>46.840745</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>Y</td>

<td>24.646121</td>

</tr>

</table>

</td>

</tr>

</table>

</body>

</html>

",,,,clampToGround,-1,0,-1,,,,
46.811464,24.690251,شارع طلحة بن عبيدالله وشارع (الامام الشافعي - الاقتصاد - الموسم - الملقا,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt"">

<head>

<META http-equiv=""Content-Type"" content=""text/html"">

<meta http-equiv=""content-type"" content=""text/html; charset=UTF-8"">

</head>

<body style=""margin:0px 0px 0px 0px;overflow:auto;background:#FFFFFF;"">

<table style=""font-family:Arial,Verdana,Times;font-size:12px;text-align:left;width:100%;border-collapse:collapse;padding:3px 3px 3px 3px"">

<tr style=""text-align:center;font-weight:bold;background:#9CBCE2"">

<td>شارع طلحة بن عبيدالله وشارع (الامام الشافعي - الاقتصاد - الموسم - الملقا</td>

</tr>

<tr>

<td>

<table style=""font-family:Arial,Verdana,Times;font-size:12px;text-align:left;width:100%;border-spacing:0px; padding:3px 3px 3px 3px"">

<tr>

<td>FID</td>

<td>7</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>الرقم</td>

<td>8</td>

</tr>

<tr>

<td>NO</td>

<td>8</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>اسم_ا</td>

<td>شارع طلحة بن عبيدالله وشارع (الامام الشافعي - الاقتصاد - الموسم - الملقا</td>

</tr>

<tr>

<td>الحي</td>

<td>الفيحاء</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>البلد</td>

<td>السلي</td>

</tr>

<tr>

<td>X</td>

<td>46.811464</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>Y</td>

<td>24.690251</td>

</tr>

</table>

</td>

</tr>

</table>

</body>

</html>

",,,,clampToGround,-1,0,-1,,,,
46.85508,24.732985,شارع سبأ من طريق الأمير سعد بن عبدالرحمن الأول حتى طريق خريص وشارع الكرامة,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt"">

<head>

<META http-equiv=""Content-Type"" content=""text/html"">

<meta http-equiv=""content-type"" content=""text/html; charset=UTF-8"">

</head>

<body style=""margin:0px 0px 0px 0px;overflow:auto;background:#FFFFFF;"">

<table style=""font-family:Arial,Verdana,Times;font-size:12px;text-align:left;width:100%;border-collapse:collapse;padding:3px 3px 3px 3px"">

<tr style=""text-align:center;font-weight:bold;background:#9CBCE2"">

<td>شارع سبأ من طريق الأمير سعد بن عبدالرحمن الأول حتى طريق خريص وشارع الكرامة</td>

</tr>

<tr>

<td>

<table style=""font-family:Arial,Verdana,Times;font-size:12px;text-align:left;width:100%;border-spacing:0px; padding:3px 3px 3px 3px"">

<tr>

<td>FID</td>

<td>8</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>الرقم</td>

<td>9</td>

</tr>

<tr>

<td>NO</td>

<td>9</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>اسم_ا</td>

<td>شارع سبأ من طريق الأمير سعد بن عبدالرحمن الأول حتى طريق خريص وشارع الكرامة</td>

</tr>

<tr>

<td>الحي</td>

<td>النسيم الشرقي</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>البلد</td>

<td>النسيم</td>

</tr>

<tr>

<td>X</td>

<td>46.85508</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>Y</td>

<td>24.732985</td>

</tr>

</table>

</td>

</tr>

</table>

</body>

</html>

",,,,clampToGround,-1,0,-1,,,,
46.682174,24.799289,شارع رقم 13-14-24 بحي الندى,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt"">

<head>

<META http-equiv=""Content-Type"" content=""text/html"">

<meta http-equiv=""content-type"" content=""text/html; charset=UTF-8"">

</head>

<body style=""margin:0px 0px 0px 0px;overflow:auto;background:#FFFFFF;"">

<table style=""font-family:Arial,Verdana,Times;font-size:12px;text-align:left;width:100%;border-collapse:collapse;padding:3px 3px 3px 3px"">

<tr style=""text-align:center;font-weight:bold;background:#9CBCE2"">

<td>شارع رقم 13-14-24 بحي الندى</td>

</tr>

<tr>

<td>

<table style=""font-family:Arial,Verdana,Times;font-size:12px;text-align:left;width:100%;border-spacing:0px; padding:3px 3px 3px 3px"">

<tr>

<td>FID</td>

<td>9</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>الرقم</td>

<td>10</td>

</tr>

<tr>

<td>NO</td>

<td>10</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>اسم_ا</td>

<td>شارع رقم 13-14-24 بحي الندى</td>

</tr>

<tr>

<td>الحي</td>

<td>الندى</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>البلد</td>

<td>الشمال</td>

</tr>

<tr>

<td>X</td>

<td>46.682174</td>

</tr>

<tr bgcolor=""#D4E4F3"">

<td>Y</td>

<td>24.799289</td>

</tr>

</table>

</td>

</tr>

</table>

</body>

</html>

",,,,clampToGround,-1,0,-1,,,,
